,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1281,2471,1713,570,2055,2057,combine
OLSRMut121_T10,18.0,18.0,17.0,7.0,18.0,5.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,7.0,5.0,5.0,18.0,5.0,6.0,3.0,18.0
OLSRMut109_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
OLSRMut130_T7,22.0,20.0,20.0,5.0,22.0,7.0,7.0,5.0,8.0,4.0,6.0,6.0,5.0,6.0,20.0,6.0,22.0,23.0,20.0,23.0,23.0,20.0,22.0
OLSRMut118_T14,6.0,6.0,7.0,15.0,9.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,6.0,15.0,12.0,12.0,10.0,12.0,12.0,10.0,7.0
OLSRMut196_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,14.0,15.0,12.0,14.0,15.0,12.0,12.0
OLSRMut136_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,3.0,2.0,1.0,19.0,20.0
OLSRMut21_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0
OLSRMut174_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,8.0,9.0,6.0,8.0,9.0,6.0,6.0
OLSRMut116_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,13.0,14.0,11.0,13.0,14.0,11.0,11.0
OLSRMut163_T21,12.0,11.0,12.0,21.0,14.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,12.0,21.0,17.0,18.0,15.0,17.0,18.0,15.0,15.0
OLSRMut194_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,3.0,3.0,4.0,4.0,5.0,21.0,19.0
OLSRMut131_T21,12.0,11.0,12.0,21.0,14.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,12.0,21.0,17.0,18.0,15.0,17.0,18.0,15.0,15.0
OLSRMut101_T15,6.0,21.0,19.0,8.0,2.0,8.0,8.0,8.0,7.0,15.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,7.0,21.0,20.0,7.0,4.0,3.0
OLSRMut12_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
OLSRMut140_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,12.0,13.0,10.0,12.0,13.0,10.0,10.0
OLSRMut17_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,13.0,14.0,11.0,13.0,14.0,11.0,11.0
OLSRMut143_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
OLSRMut192_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
OLSRMut164_T9,23.0,23.0,23.0,10.0,20.0,10.0,10.0,10.0,23.0,8.0,10.0,10.0,10.0,10.0,16.0,10.0,23.0,21.0,23.0,22.0,22.0,22.0,23.0
OLSRMut146_T3,1.0,1.0,2.0,11.0,4.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,1.0,11.0,7.0,8.0,5.0,7.0,8.0,5.0,5.0
OLSRMut138_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,19.0,20.0,17.0,19.0,20.0,17.0,17.0
OLSRMut154_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,18.0,19.0,16.0,18.0,19.0,16.0,16.0
OLSRMut124_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,21.0,6.0,19.0,6.0,4.0,18.0,4.0
OLSRMut197_T3,1.0,1.0,2.0,11.0,4.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,1.0,11.0,7.0,8.0,5.0,7.0,8.0,5.0,5.0
