,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1640,1,2160,41,1791,2,combine
NetworkMut190_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut170_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut40_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut179_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut155_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut27_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut29_T11,4.0,4.0,6.0,9.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
NetworkMut36_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut130_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut53_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut116_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut78_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut13_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut11_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut75_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut148_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut117_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut157_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut92_T3,13.0,13.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NetworkMut28_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut145_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut94_T9,10.0,10.0,1.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,5.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
NetworkMut35_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NetworkMut52_T4,1.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
