,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,98,1229,897,934,602,331,1780,326,456,68,combine
median_Examscore(%),58.93,58.93,58.93,50.89,58.93,58.93,58.93,53.12,58.04,58.93,58.93,58.93,58.93,58.93,58.93,58.93,44.2,46.88,51.79,48.21,49.11,47.77,45.54,53.12,54.46,48.66,38.39
mean_Examscore(%),50.85759999999999,50.17959999999999,50.678799999999995,50.891999999999996,50.21519999999999,50.21519999999999,50.21519999999999,57.87519999999999,49.643199999999986,50.21519999999999,50.2332,50.2332,52.250400000000006,50.28639999999999,50.179199999999994,50.51879999999999,39.142399999999995,41.357200000000006,44.8228,42.4092,42.76879999999999,44.9292,41.2672,46.3564,47.714,42.62479999999999,34.37519999999999
sd_Examscore(%),32.3622586613893,33.395954904748564,32.66227159889526,28.537005069441562,33.359032774747334,33.359032774747334,33.359032774747334,25.676577705501696,32.95243765894515,33.359032774747334,33.34071044034105,33.34071044034105,30.67816724751768,33.30085245155145,33.38910350199099,32.94411370285543,28.333147148407882,28.98122186865143,29.627561706402144,29.210814196115795,29.542843933288935,28.258499889413805,27.33017266075476,29.356279407763285,28.91335360463512,29.208039578170936,26.984282943965734
Total_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Total_acc2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
Total_acc3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0
Total_acc5,0.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,6.0
rate_acc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
rate_acc2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.04,0.0,0.08,0.0,0.08,0.04
rate_acc3,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.04,0.0,0.08,0.0,0.08,0.12
rate_acc5,0.0,0.12,0.08,0.08,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.04,0.12,0.12,0.08,0.12,0.12,0.08,0.08,0.08,0.04,0.0,0.08,0.0,0.12,0.24
