[22, 1, 67, 90, 20, 79, 57, 82, 9, 42, 6, 63, 49, 35, 81, 46, 59, 2, 80, 7, 69, 8, 39, 53, 23, 75, 26, 85, 88, 33, 15, 55, 77, 66, 47, 43, 27, 21, 91, 58, 86, 14, 32, 37, 64, 25, 50, 40, 73, 74, 11, 60, 56, 34, 65, 38, 78, 51, 62, 71, 24, 29, 4, 31, 19, 30, 16, 48, 84, 76, 61, 70, 17, 68]
[30, 53, 15, 49, 80, 45, 23, 19, 69, 24, 76, 59, 64, 18, 72, 35, 4, 85, 44, 75, 42, 14, 0, 1, 38, 29, 89, 84, 65, 60, 63, 7, 8, 28, 10, 74, 47, 16, 62, 66, 31, 91, 43, 37, 41, 3, 40, 77, 87, 22, 55, 81, 58, 20, 6, 61, 88, 54, 33, 21, 70, 79, 32, 9, 5, 27, 26, 73, 17, 90, 78, 2, 50, 39]
[74, 82, 15, 58, 40, 45, 23, 10, 17, 3, 30, 51, 41, 72, 6, 64, 32, 28, 60, 87, 76, 22, 19, 14, 9, 86, 65, 56, 20, 81, 84, 91, 83, 8, 77, 57, 34, 71, 16, 5, 75, 24, 11, 27, 26, 7, 12, 69, 47, 13, 63, 52, 55, 54, 44, 4, 50, 79, 39, 85, 42, 21, 48, 89, 80, 49, 67, 78, 73, 43, 61, 46, 66, 25]
[82, 25, 69, 63, 10, 74, 20, 65, 37, 64, 39, 22, 5, 53, 51, 60, 2, 15, 72, 59, 17, 9, 67, 48, 91, 31, 54, 24, 40, 77, 30, 21, 81, 46, 6, 85, 29, 68, 84, 28, 3, 23, 45, 52, 76, 43, 79, 38, 36, 61, 56, 73, 78, 90, 8, 66, 55, 44, 12, 18, 16, 88, 34, 75, 0, 50, 11, 70, 42, 89, 26, 86, 87, 58]
[23, 3, 83, 32, 41, 2, 48, 91, 5, 68, 58, 8, 74, 82, 14, 18, 49, 0, 70, 90, 34, 45, 31, 40, 25, 78, 13, 62, 63, 72, 36, 42, 52, 19, 67, 84, 10, 35, 9, 26, 17, 59, 51, 76, 65, 21, 53, 77, 28, 54, 89, 69, 16, 55, 81, 39, 7, 4, 64, 1, 44, 43, 79, 75, 38, 11, 15, 30, 85, 80, 86, 88, 6, 57]
[14, 11, 21, 91, 16, 87, 24, 60, 36, 69, 44, 6, 3, 88, 20, 73, 59, 22, 54, 72, 64, 34, 66, 41, 30, 51, 81, 37, 49, 46, 27, 62, 76, 31, 17, 50, 82, 65, 40, 12, 5, 63, 61, 4, 19, 86, 18, 15, 48, 45, 55, 77, 0, 56, 47, 8, 71, 79, 85, 78, 67, 68, 26, 28, 33, 25, 89, 10, 32, 1, 43, 83, 74, 80]
[27, 22, 16, 89, 85, 30, 13, 12, 54, 80, 20, 64, 9, 11, 57, 2, 1, 10, 24, 84, 29, 88, 42, 49, 36, 50, 0, 79, 41, 26, 46, 78, 18, 31, 19, 61, 4, 6, 15, 90, 66, 76, 38, 67, 87, 65, 33, 72, 74, 14, 56, 32, 55, 82, 62, 45, 28, 43, 35, 25, 53, 81, 17, 51, 77, 40, 69, 3, 39, 60, 47, 5, 70, 83]
[63, 79, 3, 0, 40, 39, 84, 47, 56, 30, 70, 25, 23, 37, 52, 29, 42, 85, 38, 88, 86, 28, 81, 4, 55, 75, 91, 76, 12, 10, 82, 77, 61, 78, 19, 67, 6, 87, 32, 7, 33, 51, 34, 9, 90, 66, 24, 16, 27, 57, 49, 68, 45, 58, 26, 60, 8, 41, 62, 73, 14, 69, 21, 64, 65, 89, 20, 54, 72, 43, 15, 5, 74, 71]
[62, 81, 63, 47, 54, 41, 87, 46, 3, 58, 6, 49, 51, 10, 31, 77, 38, 24, 20, 21, 39, 57, 71, 18, 19, 33, 59, 50, 32, 42, 35, 40, 56, 23, 37, 69, 30, 86, 90, 65, 2, 36, 4, 25, 73, 53, 88, 17, 67, 72, 29, 91, 60, 34, 83, 44, 75, 61, 70, 14, 82, 16, 8, 78, 15, 85, 27, 84, 89, 26, 52, 76, 45, 12]
[26, 28, 33, 9, 82, 16, 0, 30, 79, 89, 69, 68, 84, 85, 20, 49, 70, 55, 7, 23, 51, 52, 19, 59, 5, 76, 43, 40, 27, 86, 34, 15, 32, 17, 45, 90, 37, 73, 83, 66, 91, 56, 3, 11, 1, 41, 14, 48, 13, 60, 21, 53, 39, 74, 63, 8, 10, 77, 46, 67, 81, 31, 6, 65, 57, 25, 4, 18, 88, 35, 78, 29, 36, 12]
[48, 66, 64, 45, 19, 21, 6, 26, 78, 0, 89, 63, 74, 58, 27, 8, 31, 60, 65, 80, 86, 4, 7, 24, 62, 12, 46, 5, 77, 84, 2, 47, 20, 10, 13, 33, 1, 17, 82, 83, 39, 41, 22, 88, 42, 55, 54, 34, 75, 23, 28, 14, 16, 81, 91, 49, 15, 51, 71, 59, 35, 79, 44, 50, 72, 9, 85, 53, 61, 40, 43, 25, 37, 69]
[66, 16, 86, 56, 73, 25, 19, 67, 58, 85, 59, 80, 69, 83, 52, 0, 76, 10, 78, 90, 7, 74, 49, 28, 29, 48, 15, 88, 40, 6, 5, 18, 81, 26, 13, 60, 57, 41, 46, 77, 22, 32, 65, 64, 8, 55, 54, 42, 4, 82, 70, 33, 62, 21, 24, 31, 87, 1, 63, 45, 14, 89, 43, 91, 72, 84, 9, 37, 2, 75, 38, 79, 23, 12]
[76, 52, 88, 22, 36, 53, 48, 66, 24, 77, 29, 23, 87, 49, 89, 16, 5, 9, 21, 81, 56, 68, 54, 55, 74, 30, 71, 28, 18, 46, 57, 83, 27, 0, 14, 33, 72, 34, 45, 3, 40, 20, 90, 1, 51, 84, 61, 67, 38, 73, 32, 13, 35, 19, 79, 60, 17, 69, 8, 86, 62, 37, 15, 26, 42, 10, 6, 31, 80, 63, 47, 44, 70, 91]
[10, 33, 85, 80, 6, 54, 63, 9, 32, 35, 39, 42, 89, 17, 67, 71, 58, 87, 74, 28, 45, 2, 49, 22, 30, 13, 48, 18, 86, 27, 36, 76, 40, 21, 41, 31, 34, 37, 55, 66, 70, 23, 88, 83, 3, 81, 90, 59, 5, 62, 46, 78, 20, 73, 91, 61, 65, 14, 79, 53, 82, 43, 19, 52, 15, 1, 12, 4, 72, 29, 75, 44, 26, 0]
[35, 31, 26, 25, 68, 58, 44, 34, 13, 22, 66, 5, 28, 79, 18, 59, 78, 81, 54, 85, 50, 53, 61, 77, 52, 19, 55, 9, 65, 73, 38, 15, 21, 87, 30, 88, 90, 48, 36, 12, 69, 60, 71, 57, 29, 76, 37, 20, 64, 91, 11, 86, 1, 40, 3, 74, 62, 2, 10, 63, 33, 16, 70, 23, 41, 6, 27, 47, 46, 14, 89, 75, 39, 7]
[5, 86, 70, 34, 53, 14, 76, 16, 43, 10, 60, 8, 84, 20, 36, 30, 31, 13, 58, 26, 0, 40, 2, 15, 67, 37, 12, 89, 47, 79, 22, 69, 88, 55, 24, 61, 4, 81, 41, 66, 82, 50, 49, 9, 63, 65, 91, 74, 73, 18, 39, 44, 1, 80, 78, 42, 62, 46, 17, 71, 27, 85, 57, 25, 51, 19, 77, 32, 3, 28, 56, 45, 54, 87]
[74, 60, 0, 36, 29, 28, 35, 20, 3, 83, 80, 84, 7, 4, 26, 21, 62, 11, 63, 12, 56, 54, 75, 5, 66, 90, 40, 59, 43, 38, 53, 6, 85, 41, 17, 47, 67, 14, 86, 61, 88, 22, 91, 78, 24, 16, 25, 13, 70, 82, 46, 19, 58, 32, 71, 33, 77, 51, 87, 45, 57, 15, 8, 39, 55, 52, 1, 68, 31, 64, 79, 37, 65, 2]
[20, 65, 84, 54, 60, 22, 17, 3, 41, 56, 19, 24, 42, 71, 26, 82, 49, 91, 35, 28, 57, 79, 70, 80, 63, 5, 50, 18, 12, 27, 47, 33, 23, 6, 4, 8, 59, 72, 31, 44, 83, 36, 68, 66, 88, 55, 7, 45, 10, 78, 89, 86, 16, 15, 48, 39, 2, 43, 51, 61, 74, 64, 37, 52, 1, 81, 76, 25, 75, 21, 38, 29, 46, 9]
[69, 30, 86, 11, 56, 22, 6, 40, 85, 58, 54, 51, 0, 83, 7, 27, 61, 17, 5, 44, 2, 36, 76, 90, 15, 70, 39, 14, 43, 35, 77, 88, 74, 23, 78, 47, 46, 33, 71, 21, 59, 42, 49, 41, 4, 9, 81, 82, 38, 91, 55, 62, 3, 31, 64, 26, 25, 34, 60, 68, 45, 29, 57, 75, 63, 12, 73, 24, 1, 72, 79, 50, 89, 84]
[70, 60, 39, 50, 80, 2, 0, 27, 20, 9, 23, 82, 35, 73, 71, 76, 83, 66, 68, 24, 48, 62, 26, 90, 88, 8, 31, 91, 58, 18, 6, 3, 15, 77, 64, 16, 74, 46, 89, 37, 44, 84, 81, 86, 42, 65, 14, 28, 36, 17, 45, 87, 79, 34, 29, 41, 67, 49, 12, 52, 75, 69, 40, 55, 61, 53, 25, 1, 51, 47, 13, 33, 38, 22]
[43, 33, 76, 67, 72, 5, 61, 44, 45, 19, 34, 83, 4, 59, 11, 79, 18, 24, 22, 40, 15, 88, 85, 7, 30, 21, 80, 3, 32, 48, 91, 71, 16, 65, 13, 38, 54, 25, 47, 49, 55, 69, 70, 57, 20, 41, 1, 73, 82, 46, 9, 53, 6, 12, 17, 75, 10, 52, 78, 56, 31, 23, 27, 39, 87, 26, 29, 84, 14, 77, 42, 60, 36, 8]
