,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1,1295,83,3,96,1261,1229,23,combine
OLSRMut121_T10,18.0,18.0,17.0,7.0,18.0,5.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,7.0,20.0,16.0,7.0,3.0,7.0,6.0,18.0,20.0,3.0
OLSRMut188_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,22.0
OLSRMut20_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,22.0
OLSRMut129_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,14.0
OLSRMut167_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,6.0,3.0,10.0,8.0,9.0,9.0,5.0,4.0,8.0
OLSRMut175_T5,17.0,17.0,16.0,4.0,19.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,19.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0
OLSRMut11_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,16.0,13.0,20.0,18.0,19.0,19.0,15.0,14.0,18.0
OLSRMut178_T1,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,23.0,1.0,3.0,1.0,1.0,1.0,20.0,23.0
OLSRMut186_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,22.0,1.0,5.0,1.0,2.0,2.0,17.0,21.0
OLSRMut126_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,22.0,1.0,5.0,1.0,2.0,2.0,17.0,21.0
OLSRMut193_T9,23.0,23.0,23.0,10.0,20.0,10.0,10.0,10.0,23.0,8.0,10.0,10.0,10.0,10.0,16.0,10.0,21.0,19.0,22.0,23.0,22.0,21.0,21.0,21.0,2.0
OLSRMut160_T12,4.0,4.0,5.0,14.0,7.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,4.0,14.0,8.0,5.0,12.0,10.0,11.0,11.0,7.0,6.0,10.0
OLSRMut179_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,12.0
OLSRMut130_T7,22.0,20.0,20.0,5.0,22.0,7.0,7.0,5.0,8.0,4.0,6.0,6.0,5.0,6.0,20.0,6.0,19.0,21.0,5.0,22.0,21.0,3.0,22.0,19.0,23.0
OLSRMut158_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,22.0
OLSRMut134_T14,20.0,22.0,21.0,9.0,17.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,9.0,23.0,23.0,23.0,21.0,23.0,22.0,23.0,23.0,20.0
OLSRMut104_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,22.0,20.0,3.0,20.0,3.0,23.0,20.0,16.0,1.0
OLSRMut153_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,4.0,17.0,6.0,6.0,5.0,5.0,19.0,18.0,4.0
OLSRMut147_T15,6.0,21.0,19.0,8.0,2.0,8.0,8.0,8.0,7.0,15.0,8.0,8.0,8.0,8.0,6.0,8.0,18.0,18.0,8.0,4.0,6.0,7.0,17.0,22.0,6.0
OLSRMut116_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,11.0,8.0,15.0,13.0,14.0,14.0,10.0,9.0,13.0
OLSRMut111_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,4.0,17.0,6.0,6.0,5.0,5.0,19.0,18.0,4.0
OLSRMut148_T18,9.0,8.0,9.0,18.0,11.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,12.0,9.0,16.0,14.0,15.0,15.0,11.0,10.0,14.0
OLSRMut136_T1,16.0,14.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,22.0,1.0,5.0,1.0,2.0,2.0,17.0,21.0
OLSRMut149_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,10.0,7.0,14.0,12.0,13.0,13.0,9.0,8.0,12.0
