,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,combine
median_Examscore(%),66.67,66.67,66.67,18.419999999999998,66.67,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,18.419999999999998,66.67,18.419999999999998,18.419999999999998
mean_Examscore(%),65.55090909090909,65.55090909090909,65.55090909090909,19.057727272727274,65.55090909090909,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,19.057727272727274,65.55090909090909,19.057727272727274,19.057727272727274
sd_Examscore(%),34.17817138370921,34.17817138370921,34.17817138370921,17.17628207783384,34.17817138370921,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,17.17628207783384,34.17817138370921,17.17628207783384,17.17628207783384
Total_acc1,0.0,0.0,0.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0
Total_acc2,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0
Total_acc3,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0
Total_acc5,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0
rate_acc1,0.0,0.0,0.0,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.0,0.3181818181818182,0.3181818181818182
rate_acc2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
rate_acc3,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
rate_acc5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
