testcase_index,trace,Passed/Failed
1,"['t1', 't2', 't4']",Failed
2,"['t2', 't5', 't1', 't1', 't2']",Passed
3,"['t1', 't2', 't6', 't8', 't2', 't6']",Passed
4,"['t1', 't2', 't4']",Failed
5,"['t2', 't6', 't7', 't7', 't8']",Passed
6,"['t1', 't1', 't2', 't5', 't2', 't4']",Failed
7,"['t2', 't4']",Failed
8,"['t1', 't2', 't4']",Failed
9,"['t2', 't6', 't8', 't1', 't2', 't6', 't8', 't2', 't6']",Passed
10,"['t2', 't4']",Failed
11,"['t1', 't1', 't1', 't2', 't6', 't7', 't7']",Passed
12,"['t2', 't5', 't2', 't4']",Failed
13,"['t1', 't2', 't4']",Failed
14,"['t1', 't1', 't2', 't5', 't2', 't4']",Failed
15,"['t2', 't6', 't8', 't1', 't2', 't4']",Failed
16,"['t1', 't1', 't2', 't5', 't2', 't6']",Passed
17,"['t1', 't1', 't2', 't4']",Failed
18,"['t2', 't5', 't1', 't2', 't5', 't1', 't2', 't5', 't2', 't4']",Failed
19,"['t2', 't6', 't8', 't1', 't2', 't4']",Failed
20,"['t1', 't1', 't1', 't1', 't2', 't6']",Passed
21,"['t2', 't5', 't1', 't2', 't4']",Failed
22,"['t1', 't2', 't4']",Failed
23,"['t1', 't1', 't2', 't4']",Failed
24,"['t1', 't1', 't2', 't4']",Failed
25,"['t2', 't4']",Failed
26,"['t1', 't2', 't6', 't7', 't8', 't1', 't1']",Passed
27,"['t2', 't4']",Failed
28,"['t1', 't1', 't1', 't2', 't5', 't2', 't5', 't2', 't4']",Failed
29,"['t1', 't2', 't5', 't2', 't6', 't8', 't1', 't1', 't2', 't4']",Failed
30,"['t1', 't2', 't6', 't7', 't7', 't8']",Passed
31,"['t1', 't1', 't2', 't5', 't1', 't1', 't2', 't6', 't7', 't7', 't8', 't2']",Passed
32,"['t1', 't2', 't5', 't2', 't4']",Failed
33,"['t2', 't6', 't7', 't8', 't2', 't4']",Failed
34,"['t1', 't1', 't1', 't2', 't5', 't1', 't2', 't5', 't2', 't4']",Failed
35,"['t2', 't4']",Failed
36,"['t1', 't1', 't1', 't2', 't5', 't2', 't4']",Failed
37,"['t1', 't1', 't1', 't1', 't2', 't4']",Failed
38,"['t2', 't4']",Failed
39,"['t1', 't1', 't2', 't5', 't1', 't1']",Passed
40,"['t2', 't4']",Failed
41,"['t1', 't1', 't1', 't1', 't2']",Passed
42,"['t2', 't6', 't7', 't7', 't7', 't8']",Passed
43,"['t2', 't5', 't1', 't2', 't5', 't1', 't1', 't2', 't6', 't8']",Passed
44,"['t2', 't6', 't8', 't1', 't1']",Passed
45,"['t2', 't4']",Failed
46,"['t1', 't1', 't2', 't4']",Failed
47,"['t1', 't2', 't6', 't7', 't8']",Passed
48,"['t2', 't6', 't8', 't1', 't1', 't2', 't4']",Failed
49,"['t1', 't2', 't5', 't1', 't1', 't1', 't2', 't4']",Failed
50,"['t1', 't1', 't1', 't2', 't4']",Failed
51,"['t1', 't2', 't4']",Failed
52,"['t1', 't1', 't2', 't4']",Failed
53,"['t2', 't4']",Failed
54,"['t2', 't4']",Failed
55,"['t2', 't5', 't2', 't5', 't1', 't1', 't1', 't2', 't6', 't7', 't8', 't1']",Passed
56,"['t1', 't1', 't2', 't5', 't2', 't5', 't1']",Passed
57,"['t2', 't5', 't2', 't6', 't7']",Passed
58,"['t1', 't2', 't6', 't8', 't2', 't5', 't2', 't6']",Passed
59,"['t1', 't2', 't4']",Failed
60,"['t1', 't2', 't4']",Failed
61,"['t1', 't1', 't2', 't4']",Failed
62,"['t2', 't4']",Failed
63,"['t1', 't1', 't1', 't1', 't2', 't6']",Passed
64,"['t1', 't2', 't5', 't2', 't6', 't8', 't1']",Passed
65,"['t2', 't6', 't7', 't8', 't1', 't1', 't1', 't2', 't4']",Failed
66,"['t1', 't2', 't4']",Failed
67,"['t2', 't6', 't8', 't2', 't4']",Failed
68,"['t2', 't4']",Failed
69,"['t2', 't6', 't8', 't1', 't1', 't2', 't5', 't1', 't2']",Passed
70,"['t2', 't6', 't7', 't7', 't7', 't8', 't2', 't5', 't2', 't6', 't7', 't8']",Passed
71,"['t2', 't4']",Failed
72,"['t1', 't2', 't6', 't8', 't1', 't2', 't4']",Failed
73,"['t2', 't5', 't1', 't1', 't2', 't5']",Passed
74,"['t2', 't5', 't1', 't1', 't1', 't2', 't5', 't2', 't5']",Passed
75,"['t2', 't4']",Failed
76,"['t2', 't4']",Failed
77,"['t2', 't4']",Failed
78,"['t1', 't1', 't2', 't4']",Failed
79,"['t2', 't4']",Failed
80,"['t2', 't6', 't7', 't8', 't2', 't4']",Failed
