testcase_index,trace,Passed/Failed
1,"['t1', 't2', 't3', 't3', 't5', 't1']",Passed
2,"['t2', 't5', 't1', 't1', 't2']",Passed
3,"['t1', 't2', 't6', 't8', 't2', 't6']",Passed
4,"['t1', 't2', 't3', 't3', 't6', 't7', 't8', 't2', 't6', 't7']",Passed
5,"['t2', 't6', 't7', 't7', 't8']",Passed
6,"['t1', 't1', 't2', 't5', 't2', 't3']",Passed
7,"['t2', 't3', 't3', 't3', 't6', 't7']",Passed
8,"['t1', 't2', 't3', 't6', 't7', 't7', 't7', 't7', 't7', 't7', 't8']",Passed
9,"['t2', 't6', 't8', 't1', 't2', 't6', 't8', 't2', 't6']",Passed
10,"['t2', 't3', 't3', 't3', 't5', 't1', 't1', 't2', 't3', 't5', 't2']",Passed
11,"['t1', 't1', 't1', 't2', 't6', 't7', 't7']",Passed
12,"['t2', 't5', 't2', 't3', 't5', 't2', 't5', 't2']",Passed
13,"['t1', 't2', 't3', 't3', 't5', 't2', 't3', 't5', 't2', 't3', 't3']",Passed
14,"['t1', 't1', 't2', 't5', 't2', 't3', 't6', 't8', 't1']",Passed
15,"['t2', 't6', 't8', 't1', 't2', 't3', 't3', 't6']",Passed
16,"['t1', 't1', 't2', 't5', 't2', 't6']",Passed
17,"['t1', 't1', 't2', 't3', 't5', 't1', 't1', 't1', 't1', 't1']",Passed
18,"['t2', 't5', 't1', 't2', 't5', 't1', 't2', 't5', 't2', 't3']",Passed
19,"['t2', 't6', 't8', 't1', 't2', 't3', 't6', 't8']",Passed
20,"['t1', 't1', 't1', 't1', 't2', 't6']",Passed
21,"['t2', 't5', 't1', 't2', 't3']",Passed
22,"['t1', 't2', 't3', 't3', 't5', 't1']",Passed
23,"['t1', 't1', 't2', 't3', 't3']",Passed
24,"['t1', 't1', 't2', 't3', 't6']",Passed
25,"['t2', 't3', 't6', 't7', 't8', 't1']",Passed
26,"['t1', 't2', 't6', 't7', 't8', 't1', 't1']",Passed
27,"['t2', 't3', 't5', 't1', 't2', 't3', 't6', 't8']",Passed
28,"['t1', 't1', 't1', 't2', 't5', 't2', 't5', 't2', 't3', 't6']",Passed
29,"['t1', 't2', 't5', 't2', 't6', 't8', 't1', 't1', 't2', 't3']",Passed
30,"['t1', 't2', 't6', 't7', 't7', 't8']",Passed
31,"['t1', 't1', 't2', 't5', 't1', 't1', 't2', 't6', 't7', 't7', 't8', 't2']",Passed
32,"['t1', 't2', 't5', 't2', 't3', 't6', 't7', 't8', 't1', 't2']",Passed
33,"['t2', 't6', 't7', 't8', 't2', 't3', 't3', 't6', 't7', 't8']",Passed
34,"['t1', 't1', 't1', 't2', 't5', 't1', 't2', 't5', 't2', 't3', 't6', 't8']",Passed
35,"['t2', 't3', 't3', 't3', 't5', 't1', 't2', 't3']",Passed
36,"['t1', 't1', 't1', 't2', 't5', 't2', 't3', 't6', 't7', 't7']",Passed
37,"['t1', 't1', 't1', 't1', 't2', 't3', 't6', 't8']",Passed
38,"['t2', 't3', 't3', 't6', 't8', 't2', 't6', 't7', 't8', 't1', 't1']",Passed
39,"['t1', 't1', 't2', 't5', 't1', 't1']",Passed
40,"['t2', 't3', 't6', 't7', 't8', 't1', 't1', 't2', 't5', 't1', 't1']",Passed
41,"['t1', 't1', 't1', 't1', 't2']",Passed
42,"['t2', 't6', 't7', 't7', 't7', 't8']",Passed
43,"['t2', 't5', 't1', 't2', 't5', 't1', 't1', 't2', 't6', 't8']",Passed
44,"['t2', 't6', 't8', 't1', 't1']",Passed
45,"['t2', 't3', 't6', 't8', 't1', 't1']",Passed
46,"['t1', 't1', 't2', 't3', 't5', 't2', 't3', 't6', 't8', 't2', 't5']",Passed
47,"['t1', 't2', 't6', 't7', 't8']",Passed
48,"['t2', 't6', 't8', 't1', 't1', 't2', 't3', 't3']",Passed
49,"['t1', 't2', 't5', 't1', 't1', 't1', 't2', 't3', 't3', 't3']",Passed
50,"['t1', 't1', 't1', 't2', 't3', 't3', 't5']",Passed
51,"['t1', 't2', 't3', 't3', 't5']",Passed
52,"['t1', 't1', 't2', 't3', 't6', 't8', 't2', 't6', 't7', 't8', 't1', 't1']",Passed
53,"['t2', 't3', 't5', 't1', 't1', 't2', 't6', 't8', 't1']",Passed
54,"['t2', 't3', 't6', 't8', 't1']",Passed
55,"['t2', 't5', 't2', 't5', 't1', 't1', 't1', 't2', 't6', 't7', 't8', 't1']",Passed
56,"['t1', 't1', 't2', 't5', 't2', 't5', 't1']",Passed
57,"['t2', 't5', 't2', 't6', 't7']",Passed
58,"['t1', 't2', 't6', 't8', 't2', 't5', 't2', 't6']",Passed
59,"['t1', 't2', 't3', 't3', 't3', 't5', 't2']",Passed
60,"['t1', 't2', 't3', 't5', 't1', 't1', 't2']",Passed
61,"['t1', 't1', 't2', 't3', 't3', 't3', 't5', 't2', 't5']",Passed
