0 qid:1 23:0.761019 844:0.000000 2628:0.000402 2895:0.002853 1144:0.802307
0 qid:1 23:0.999912 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:1 23:0.863574 844:0.081532 2628:0.000402 2895:0.005777 1144:0.000000
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:0.638635 844:0.060738 2628:0.000402 2895:0.000000 1144:0.790153
0 qid:1 23:0.993052 844:0.001260 2628:0.000000 2895:0.005245 1144:0.999080
1 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:0.000000 844:0.101555 2628:0.000402 2895:0.000595 1144:0.931062
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:1 23:1.000000 844:0.117876 2628:0.000421 2895:0.011879 1144:0.972594
0 qid:2 23:0.459224 844:0.000000 2628:0.000000 2895:0.039118 1144:0.000000
0 qid:2 23:1.000000 844:0.577570 2628:1.000000 2895:1.000000 1144:1.000000
1 qid:2 23:0.999974 844:1.000000 2628:0.000066 2895:0.064005 1144:0.853724
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.000000 844:0.143071 2628:0.000000 2895:0.017586 1144:0.025186
0 qid:2 23:0.999413 844:0.116231 2628:0.000000 2895:0.028835 1144:0.213181
0 qid:2 23:0.999413 844:0.189562 2628:0.000000 2895:0.006021 1144:0.213181
0 qid:2 23:0.999413 844:0.163793 2628:0.000000 2895:0.014179 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:2 23:0.999413 844:0.206786 2628:0.000009 2895:0.000000 1144:0.213181
0 qid:3 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:3 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:3 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:3 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:3 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:3 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:4 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:4 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:4 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:4 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:4 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:5 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:5 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:5 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:5 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:5 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:6 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:6 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:6 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:6 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:6 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:7 23:0.908595 844:0.000000 2628:0.000000 2895:0.016890 1144:0.000000
1 qid:7 23:0.999630 844:0.950724 2628:1.000000 2895:1.000000 1144:0.953230
0 qid:7 23:0.999474 844:1.000000 2628:0.000121 2895:0.015037 1144:1.000000
0 qid:7 23:1.000000 844:0.562808 2628:0.000017 2895:0.015037 1144:0.742016
0 qid:7 23:0.726448 844:0.111887 2628:0.000000 2895:0.005879 1144:0.379743
0 qid:7 23:0.474305 844:0.070031 2628:0.000000 2895:0.019710 1144:0.684398
0 qid:7 23:0.000000 844:0.140359 2628:0.000000 2895:0.000000 1144:0.717732
0 qid:7 23:0.586890 844:0.115441 2628:0.000000 2895:0.004200 1144:0.586736
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:7 23:0.999445 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:8 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:8 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:8 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:8 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:8 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:8 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:9 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:9 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:9 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:9 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:9 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:10 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:10 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:10 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:10 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:10 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:11 23:0.908931 844:0.000000 2628:0.000000 2895:0.016890 1144:0.000000
0 qid:11 23:1.000000 844:0.950724 2628:1.000000 2895:1.000000 1144:0.953230
1 qid:11 23:0.999845 844:1.000000 2628:0.000121 2895:0.015037 1144:1.000000
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.726717 844:0.111887 2628:0.000000 2895:0.005879 1144:0.379743
0 qid:11 23:0.474481 844:0.070031 2628:0.000000 2895:0.019710 1144:0.684398
0 qid:11 23:0.000000 844:0.140359 2628:0.000000 2895:0.000000 1144:0.717732
0 qid:11 23:0.587107 844:0.115441 2628:0.000000 2895:0.004200 1144:0.586736
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:11 23:0.999815 844:0.155098 2628:0.000013 2895:0.008197 1144:0.742016
0 qid:12 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:12 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:12 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:12 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:12 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:12 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:13 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:13 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:13 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:13 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:13 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:14 23:0.867970 844:0.674003 2628:0.000086 2895:0.018792 1144:0.000000
1 qid:14 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.998714 844:0.000000 2628:0.000000 2895:0.018815 1144:0.979232
0 qid:14 23:0.675223 844:0.678416 2628:0.000086 2895:0.015792 1144:0.218328
0 qid:14 23:0.325750 844:0.663818 2628:0.000086 2895:0.015023 1144:0.877025
0 qid:14 23:0.000000 844:0.683217 2628:0.000086 2895:0.013730 1144:0.898490
0 qid:14 23:0.475073 844:0.677576 2628:0.000086 2895:0.015001 1144:0.687364
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:14 23:0.997017 844:0.688027 2628:0.000142 2895:0.000000 1144:0.979232
0 qid:15 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:15 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:15 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:15 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:15 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:15 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:16 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.675223 844:0.043425 2628:0.000000 2895:0.015792 1144:0.218328
0 qid:16 23:0.325750 844:0.000000 2628:0.000000 2895:0.015023 1144:0.877025
0 qid:16 23:0.000000 844:0.057707 2628:0.000000 2895:0.013730 1144:0.898490
0 qid:16 23:0.475073 844:0.040924 2628:0.000000 2895:0.015001 1144:0.687364
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:16 23:0.997017 844:0.072014 2628:0.000057 2895:0.000000 1144:0.979232
0 qid:17 23:0.867970 844:0.030298 2628:0.000000 2895:0.018792 1144:0.000000
1 qid:17 23:1.000000 844:1.000000 2628:1.000000 2895:1.000000 1144:1.000000
